Prevalence or Incidence,Type ,sex,Age,age_start,age_end,area,First authors,Period,effective_sample_size,Patients with OCD,data_type,value,standard_error,lower_ci,upper_ci
point-prevalence,OCD,Both,11-12,11,12,Global,"Heyman I et al, 2001",1999,1813,4,p,0.002206287920573635,0.0011019263617256096,,
point-prevalence,OCD,Both,13-15,13,15,Global,"Heyman I et al, 2001",1999,2491,16,p,0.006423123243677238,0.0016006154390768661,,
point-prevalence,OCD,Both,18-65,18,65,Global,"Jacobi F et al, 2003",1997,4181,18,p,0.004305190145898111,0.0010125563618691442,,
point-prevalence,OCD,Both,18-25,18,25,Global,"Mohammadi MR et al, 2004",2001,7754,132,p,0.017023471756512767,0.0014690370287478603,,
point-prevalence,OCD,Both,26-40,26,40,Global,"Mohammadi MR et al, 2004",2001,8219,148,p,0.018007056819564424,0.0014667836512682647,,
point-prevalence,OCD,Both,41-55,41,55,Global,"Mohammadi MR et al, 2004",2001,5614,118,p,0.02101888136800855,0.001914501686384446,,
point-prevalence,OCD,Both,56-65,56,65,Global,"Mohammadi MR et al, 2004",2001,1939,29,p,0.014956162970603403,0.002756442700083723,,
point-prevalence,OCD,Both,65-95,65,95,Global,"Mohammadi MR et al, 2004",2001,1675,17,p,0.010149253731343283,0.002449032264560792,,
point-prevalence,OCD,Both,6-18,6,18,Global,"Eapen V et al, 2004",,278,12,p,0.04316546762589928,0.0121888925185707,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Crino R et al, 2005",1997,10641,64,p,0.006014472324029696,0.0007495447634275445,,
point-prevalence,OCD,Both,12-16,12,16,Global,"Bryńska A et al, 2005",2005,2516,11,p,0.0043720190779014305,0.0013153285672026904,,
point-prevalence,OCD,Both,18-24,18,24,Global,"Torres AR et al, 2006",2000,1276,22,p,0.017241379310344827,0.0036440480683316502,,
point-prevalence,OCD,Both,25-44,25,44,Global,"Torres AR et al, 2006",2000,3695,54,p,0.014614343707713126,0.001974174578936901,,
point-prevalence,OCD,Both,45-64,45,64,Global,"Torres AR et al, 2006",2000,2636,35,p,0.013277693474962063,0.0022293902085952118,,
point-prevalence,OCD,Both,65-74,65,74,Global,"Torres AR et al, 2006",2000,973,3,p,0.003083247687564234,0.001777367497807488,,
point-prevalence,OCD,Both,14-18,14,18,Global,"Assarian F et al, 2006",2006,293,26,p,0.08873720136518772,0.016612724928593506,,
point-prevalence,OCD,Both,15-80,15,80,Global,"Kadri N et al, 2007",2007,800,49,p,0.06125,0.008477797289095795,,
point-prevalence,OCD,Both,13-17,13,17,Global,"Rueda-Jaimes GE et al, 2008",2008,390,30,p,0.07692307692307693,0.01349320029703122,,
point-prevalence,OCD,Both,18-64,18,64,Global,"Ghanem M et al, 2009 ",2003,14640,99,p,0.006762295081967213,0.0006773343791267118,,
point-prevalence,OCD,Both,15-19,15,19,Global,"Kadri N et al, 2010 ",2004-2005,513,21,p,0.04093567251461988,0.008748148590585012,,
point-prevalence,OCD,Both,20-29,20,29,Global,"Kadri N et al, 2010 ",2004-2005,1312,98,p,0.07469512195121951,0.0072580779591788795,,
point-prevalence,OCD,Both,30-44,30,44,Global,"Kadri N et al, 2010 ",2004-2005,1917,148,p,0.07720396452790819,0.006096233664104957,,
point-prevalence,OCD,Both,45-59,45,59,Global,"Kadri N et al, 2010 ",2004-2005,1040,59,p,0.05673076923076923,0.007173159711278836,,
point-prevalence,OCD,Both,60-95,60,95,Global,"Kadri N et al, 2010 ",2004-2005,716,36,p,0.05027932960893855,0.00816650389005802,,
point-prevalence,OCD,Both,18-65,18,65,Global,"Ghuloum S et al, 2011",2009,1660,58,p,0.03493975903614458,0.004506953949219582,,
point-prevalence,OCD,Both,18-65,18,65,Global,"Jenkins R et al, 2012 ",,876,2,p,0.00228310502283105,0.0016125550694238008,,
point-prevalence,OCD,Both,9-13,9,13,Global,"Canals J et al, 2012",2007,1512,27,p,0.017857142857142856,0.0034057865194721984,,
point-prevalence,OCD,Both,3-5,3,5,Global,"Abbo C et al, 2013 ",,286,0,p,0.0017482517482517483,0.0024702391974412347,,
point-prevalence,OCD,Both,6-9,6,9,Global,"Abbo C et al, 2013 ",,416,4,p,0.009615384615384616,0.004784522571351927,,
point-prevalence,OCD,Both,10-13,10,13,Global,"Abbo C et al, 2013 ",,550,4,p,0.007272727272727273,0.0036231163659689934,,
point-prevalence,OCD,Both,14-19,14,19,Global,"Abbo C et al, 2013 ",,335,1,p,0.0029850746268656717,0.0029806159617528495,,
point-prevalence,OCD,Both,14-18,14,18,Global,"Rady A et al, 2013",2009,1299,29,p,0.022324865280985373,0.004099086970117184,,
point-prevalence,OCD,Both,18-70,18,70,Global,"Skapinakis P et al, 2013",2009-2010,4894,83,p,0.016959542296689823,0.0018456985758494389,,
point-prevalence,OCD,Both,70-92,70,92,Global,"Klenfeldt IF et al, 2014",2000,900,26,p,0.028888888888888888,0.005583141388507043,,
point-prevalence,OCD,Both,14-17,14,17,Global,"Vivan Ade S et al, 2014",2009-2011,2323,75,p,0.032285837279380114,0.0036673720470683613,,
point-prevalence,OCD,Both,33-85,33,85,Global,"Takayanagi Y et al, 2014 (1)",1993,1920,6,p,0.003125,0.0012737809480620416,,
point-prevalence,OCD,Both,44-96,44,96,Global,"Takayanagi Y et al, 2014 (2)",2004,1071,2,p,0.0018674136321195146,0.0013192273431303749,,
point-prevalence,OCD,Both,18-65,18,65,Global,"Jenkins R et al, 2015",2013,1157,16,p,0.013828867761452032,0.003433229022269022,,
point-prevalence,OCD,Both,0-2,0,2,Global,"Atladottir HO et al, 2015 (4)",1990-2007,194617,16,p,8.221275633680511e-05,2.0552344199672788e-05,,
point-prevalence,OCD,Both,0-2,0,2,Global,"Atladottir HO et al, 2015 (5)",1990-2007,303788,1,p,3.291769260141941e-06,3.2917638422650513e-06,,
point-prevalence,OCD,Both,0-2,0,2,Global,"Atladottir HO et al, 2015 (6)",1990-2007,175221,4,p,2.282831395780186e-05,1.1414026695177848e-05,,
point-prevalence,OCD,Both,3-5,3,5,Global,"Atladottir HO et al, 2015 (7)",1990-2007,193766,115,p,0.0005934993755354397,5.5327676354878395e-05,,
point-prevalence,OCD,Both,3-5,3,5,Global,"Atladottir HO et al, 2015 (8)",1990-2007,286566,21,p,7.328154770628756e-05,1.5990758787713347e-05,,
point-prevalence,OCD,Both,3-5,3,5,Global,"Atladottir HO et al, 2015 (9)",1990-2007,169351,45,p,0.00026572030870794977,3.960598177911902e-05,,
point-prevalence,OCD,Both,6-8,6,8,Global,"Atladottir HO et al, 2015 (10)",1990-2007,198934,376,p,0.0018900740949259554,9.7380969639967e-05,,
point-prevalence,OCD,Both,6-8,6,8,Global,"Atladottir HO et al, 2015 (11)",1990-2007,259776,117,p,0.0004503880266075388,4.1629010017767503e-05,,
point-prevalence,OCD,Both,6-8,6,8,Global,"Atladottir HO et al, 2015 (12)",1990-2007,169010,167,p,0.0009881072125909709,7.642424605483896e-05,,
point-prevalence,OCD,Both,9-11,9,11,Global,"Atladottir HO et al, 2015 (13)",1990-2007,201636,709,p,0.0035162371798686744,0.0001318226862690398,,
point-prevalence,OCD,Both,9-11,9,11,Global,"Atladottir HO et al, 2015 (14)",1990-2007,263900,335,p,0.0012694202349374762,6.931180153862525e-05,,
point-prevalence,OCD,Both,9-11,9,11,Global,"Atladottir HO et al, 2015 (15)",1990-2007,176319,401,p,0.0022742869458197926,0.00011344324861388392,,
point-prevalence,OCD,Both,12-14,12,14,Global,"Atladottir HO et al, 2015 (16)",1990-2007,206733,953,p,0.004609810722042441,0.00014898183575988146,,
point-prevalence,OCD,Both,12-14,12,14,Global,"Atladottir HO et al, 2015 (17)",1990-2007,323153,688,p,0.002129022475421859,8.108177040533929e-05,,
point-prevalence,OCD,Both,12-14,12,14,Global,"Atladottir HO et al, 2015 (18)",1990-2007,192463,719,p,0.0037357829816640083,0.0001390607156723366,,
point-prevalence,OCD,Both,15-17,15,17,Global,"Atladottir HO et al, 2015 (19)",1990-2007,195326,1163,p,0.005954148449259187,0.0001740736394936802,,
point-prevalence,OCD,Both,15-17,15,17,Global,"Atladottir HO et al, 2015 (20)",1990-2007,360521,1278,p,0.0035448697856712923,9.898371138498613e-05,,
point-prevalence,OCD,Both,15-17,15,17,Global,"Atladottir HO et al, 2015 (21)",1990-2007,197432,797,p,0.00403683293488391,0.0001427030496981292,,
point-prevalence,OCD,Both,18-34,18,34,Global,"Bener A et al, 2015",2011-2012,502,62,p,0.12350597609561753,0.014684751690095869,,
point-prevalence,OCD,Both,35-49,35,49,Global,"Bener A et al, 2015",2011-2012,558,50,p,0.08960573476702509,0.01209109295259644,,
point-prevalence,OCD,Both,50-64,50,64,Global,"Bener A et al, 2015",2011-2012,290,36,p,0.12413793103448276,0.019362931624089752,,
point-prevalence,OCD,Both,65,65,65,Global,"Bener A et al, 2015",2011-2012,125,14,p,0.112,0.028207233114929935,,
point-prevalence,OCD,Both,15-19,15,19,Global,"Cath DC et al, 2017",2009-2012,1637,174,p,0.1062919975565058,0.0076176982949805625,,
point-prevalence,OCD,Both,20-24,20,24,Global,"Cath DC et al, 2017",2009-2012,1722,155,p,0.0900116144018583,0.006896847555149513,,
point-prevalence,OCD,Both,25-29,25,29,Global,"Cath DC et al, 2017",2009-2012,838,55,p,0.06563245823389022,0.008554530869722457,,
point-prevalence,OCD,Both,30-34,30,34,Global,"Cath DC et al, 2017",2009-2012,1592,106,p,0.06658291457286432,0.006248096698127367,,
point-prevalence,OCD,Both,35-39,35,39,Global,"Cath DC et al, 2017",2009-2012,1656,61,p,0.03683574879227053,0.0046286544775402776,,
point-prevalence,OCD,Both,40-44,40,44,Global,"Cath DC et al, 2017",2009-2012,988,43,p,0.043522267206477734,0.006491046423166149,,
point-prevalence,OCD,Both,45-49,45,49,Global,"Cath DC et al, 2017",2009-2012,1497,67,p,0.0447561790247161,0.005344077154240639,,
point-prevalence,OCD,Both,50-54,50,54,Global,"Cath DC et al, 2017",2009-2012,1698,63,p,0.037102473498233215,0.004586935405961218,,
point-prevalence,OCD,Both,55-59,55,59,Global,"Cath DC et al, 2017",2009-2012,1337,64,p,0.04786836200448766,0.005838577884673962,,
point-prevalence,OCD,Both,60-64,60,64,Global,"Cath DC et al, 2017",2009-2012,1197,53,p,0.04427736006683375,0.0059457921244290115,,
point-prevalence,OCD,Both,65-69,65,69,Global,"Cath DC et al, 2017",2009-2012,580,39,p,0.06724137931034482,0.010398936966459198,,
point-prevalence,OCD,Both,70-95,70,95,Global,"Cath DC et al, 2017",2009-2012,452,49,p,0.1084070796460177,0.014623216533616187,,
point-prevalence,OCD,Both,16-18,16,18,Global,"Politis S et al, 2017",2007-2009,5614,63,p,0.011221945137157107,0.001405876838039637,,
point-prevalence,OCD,Both,15-25,15,25,Global,"Veisani Y et al, 2017",2016-2017,143,19,p,0.13286713286713286,0.028384652835273933,,
point-prevalence,OCD,Both,26-45,26,45,Global,"Veisani Y et al, 2017",2016-2017,373,42,p,0.1126005361930295,0.016367237876807744,,
point-prevalence,OCD,Both,46-65,46,65,Global,"Veisani Y et al, 2017",2016-2017,216,29,p,0.13425925925925927,0.023197392749650714,,
point-prevalence,OCD,Both,66-88,66,88,Global,"Veisani Y et al, 2017",2016-2017,31,3,p,0.0967741935483871,0.05310031559697429,,
point-prevalence,OCD,Both,18-66,18,66,Global,"Tavakolizadeh J et al, 2018",2016,900,44,p,0.04888888888888889,0.00718785746412338,,
point-prevalence,OCD,Both,18-24,18,24,Global,"Tavakolizadeh J et al, 2018",2016,139,14,p,0.10071942446043165,0.025526826345753727,,
point-prevalence,OCD,Both,25-31,25,31,Global,"Tavakolizadeh J et al, 2018",2016,243,15,p,0.06172839506172839,0.01543844811717799,,
point-prevalence,OCD,Both,32-38,32,38,Global,"Tavakolizadeh J et al, 2018",2016,165,7,p,0.04242424242424243,0.01569103702445628,,
point-prevalence,OCD,Both,39-45,39,45,Global,"Tavakolizadeh J et al, 2018",2016,140,5,p,0.03571428571428571,0.01568410831524428,,
point-prevalence,OCD,Both,46-52,46,52,Global,"Tavakolizadeh J et al, 2018",2016,89,0,p,0.0056179775280898875,0.007922671108262997,,
point-prevalence,OCD,Both,53-59,53,59,Global,"Tavakolizadeh J et al, 2018",2016,80,2,p,0.025,0.017455300054711177,,
point-prevalence,OCD,Both,60-66,60,66,Global,"Tavakolizadeh J et al, 2018",2016,44,1,p,0.022727272727272728,0.022467523936912755,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Formánek T et al, 2019",2017,3306,33,p,0.009981851179673321,0.0017289231868931314,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Subramaniam M et al, 2019",2016-2018,6126,104,p,0.016976820111002284,0.0016505229085600457,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Rancans E et al, 2020 ",2014-2017,1485,20,p,0.013468013468013467,0.002991190891656567,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Gautham MS et al, 2020",2015-2016,34802,111,p,0.003189471869432791,0.0003022481107052386,,
point-prevalence,OCD,Both,18-77,18,77,Global,"Tognon-Tchégnonsi F et al, 2020",2013,603,125,p,0.20729684908789386,0.016507943986765597,,
point-prevalence,OCD,Both,18-65,18,65,Global,"Dilip M.S, 2021",,100,29,p,0.29,0.045376205218153706,,
point-prevalence,OCD,Both,6-9,6,9,Global,"Mohammadi MR et al, 2021",2021,10178,161,p,0.01581843191196699,0.0012367676163076249,,
point-prevalence,OCD,Both,10-14,10,14,Global,"Mohammadi MR et al, 2021",2021,10445,283,p,0.027094303494494973,0.0015886204417243136,,
point-prevalence,OCD,Both,15-18,15,18,Global,"Mohammadi MR et al, 2021",2021,9235,303,p,0.032809962100703846,0.0018537037213323052,,
point-prevalence,OCD,Both,14-65,14,65,Global,"Kayiteshonga Y et al, 2022 ",2018,19110,688,p,0.03600209314495029,0.0013476328148923208,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Dhimal M et al, 2022 ",2019-2020,8940,18,p,0.0020134228187919465,0.0004740903154671763,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Damega W et al, 2022",2022,445,2,p,0.0044943820224719105,0.003170858371967146,,
point-prevalence,OCD,Both,6-16,6,16,Global,"Yan J et al, 2022",2014-2015,72107,986,p,0.013674123178054835,0.0004324851937892979,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Barr PB et al, 2022",2018-2021,214206,870,p,0.004061510882048122,0.00013741819922831,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Zhang Y et al, 2022",2018,6269,114,p,0.018184718455894082,0.0016875981846659626,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Vinogradova V et al, 2023",2019-2020,2687,16,p,0.00595459620394492,0.0014842102813559812,,
point-prevalence,OCD,Both,12-18,12,18,Global,"Pei S et al, 2023",2023,7493,680,p,0.09075136794341385,0.003318486474829519,,
point-prevalence,OCD,Both,6-17,6,17,Global,"Kusi-Mensah K et al, 2024 ",,672,1,p,0.001488095238095238,0.0014869876121597857,,
point-prevalence,OCD,Both,18-95,18,95,Global,"Rahman R et al, 2024",2019-2022,17773,229,p,0.012884712766556013,0.0008459426846328695,,
